"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Fri Sep 11 12:56:36 IST 2026","Fri Sep 11 12:56:36 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2480_verifyClickingOnOthersOption","Verify clicking on Others [Describe] section in 4 of 12",""
"broken","Fri Sep 11 17:41:28 IST 2026","Fri Sep 11 17:46:19 IST 2026","291317","Suite","M2006C3MII","com.intelehealth.tests.VisitSummaryTest","com.intelehealth.tests.VisitSummaryTest","IDA4_2186_verifyChooseFromGalleryOptionToAddDocument","Verify choose from gallery option to add document",""
"passed","Thu Sep 10 15:15:08 IST 2026","Thu Sep 10 15:15:20 IST 2026","11715","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2565_verifyUploadIcon","Verify when user clicks on upload icon in 1 of 6",""
"broken","Thu Sep 10 16:30:31 IST 2026","Thu Sep 10 16:30:49 IST 2026","17290","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2652_verifyPatientHistoryScreenChangeButton","Verify Change button functionality for patient history on Medical history summary screen",""
"passed","Fri Sep 11 13:39:54 IST 2026","Fri Sep 11 13:40:09 IST 2026","15068","Suite","M2006C3MII","com.intelehealth.tests.EditProfileTest","com.intelehealth.tests.EditProfileTest","IDA4_1993_changeProfileByTakingPhotoAndVerify","Verify that user can change the profile photo by taking photo",""
"passed","Fri Sep 11 14:34:57 IST 2026","Fri Sep 11 14:35:25 IST 2026","27380","Suite","M2006C3MII","com.intelehealth.tests.PrescriptionsTest","com.intelehealth.tests.PrescriptionsTest","IDA4_2101_verifyThatUserCanShareThePrescriptionToPatient","Verify that user can share the prescription to patient",""
"broken","Thu Sep 10 16:26:46 IST 2026","Thu Sep 10 16:27:03 IST 2026","17761","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2648_verifyConfirmButtonFunctionality","Verify confirm button functionality on Family history screen",""
"skipped","Fri Sep 11 17:06:40 IST 2026","Fri Sep 11 17:06:41 IST 2026","941","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2501_verifyUserAbleToSelectAnyOptionInEightOfTwelveQuestions","Verify whether user able to select any options in 8 of 12",""
"skipped","Fri Sep 11 17:06:53 IST 2026","Fri Sep 11 17:06:54 IST 2026","932","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2533_verifyAssociatedSymptomsQuestionIsDisplayed","Verify clicking on Skip button in 12 of 12",""
"passed","Fri Sep 11 14:14:28 IST 2026","Fri Sep 11 14:14:31 IST 2026","3429","Suite","M2006C3MII","com.intelehealth.tests.ForgotPasswordTest","com.intelehealth.tests.ForgotPasswordTest","verifyForgotPasswordWithInvalidMobileNumber","Verify Forgot Password with invalid mobile number (negative)","Verifies Forgot Password functionality with an invalid mobile number."
"passed","Fri Sep 11 13:07:36 IST 2026","Fri Sep 11 13:08:04 IST 2026","28288","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","IDA4_2356_verifyClickingOnCallAndWhatsappIconAnAppointmentDetailsPageWhenNumberIsProvided","Verify clicking on call and whatsapp icon on appointment details page when number is provided",""
"broken","Thu Sep 10 17:48:39 IST 2026","Thu Sep 10 17:49:09 IST 2026","29194","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2582_verifyPictureUploadedFromGalleryInTwoOfSix","Verify picture is uploaded when selected from gallery/photos in 2 of 6",""
"passed","Fri Sep 11 14:01:23 IST 2026","Fri Sep 11 14:01:38 IST 2026","14435","Suite","M2006C3MII","com.intelehealth.tests.DashboardModuleTest","com.intelehealth.tests.DashboardModuleTest","IDA4_2068_verifyAppointmentsSectionShouldDisplayTheUpcomingAppointments","Verify appointments section should display the upcoming appointments",""
"passed","Thu Sep 10 15:04:11 IST 2026","Thu Sep 10 15:04:12 IST 2026","1222","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2562_verifyOneOfSixQuestionsIsShownToUser","Verify 1 of 6 questions is shown to user",""
"skipped","Fri Sep 11 17:06:54 IST 2026","Fri Sep 11 17:06:55 IST 2026","964","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2534_enterDataInAssociatedTextFieldAndSubmit","Verify entering any data in describe field and click on submit button in 12 of 12",""
"passed","Fri Sep 11 15:05:03 IST 2026","Fri Sep 11 15:08:13 IST 2026","189666","Suite","M2006C3MII","com.intelehealth.tests.EndToEndTest","com.intelehealth.tests.EndToEndTest","IDA4_2156_loginFindPatientBookAppointmentForAlreadyAddedPatientProfile","Login, Find patient, Book appointment [For already added patient] profile",""
"broken","Fri Sep 11 15:24:47 IST 2026","Fri Sep 11 15:25:30 IST 2026","42676","Suite","M2006C3MII","com.intelehealth.tests.EndToEndTest","com.intelehealth.tests.EndToEndTest","IDA4_2160_LoginPrescriptionsReceivedVisitSummaryPrint","Login, Prescriptions, Received, Visit summary, Print",""
"unknown","Fri Sep 11 12:56:36 IST 2026","Fri Sep 11 12:56:36 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","IDA4_2374_verifyCountOfCancelledTab","Verify the count of cancelled tab","Deprecated due to new UI redesign"
"broken","Fri Sep 11 17:06:33 IST 2026","Fri Sep 11 17:06:33 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","beforeMethod","beforeMethod",""
"broken","Fri Sep 11 18:00:47 IST 2026","Fri Sep 11 18:03:10 IST 2026","142971","Suite","M2006C3MII","com.intelehealth.tests.VisitSummaryTest","com.intelehealth.tests.VisitSummaryTest","IDA4_2192_verifyDoctorSpecialityDropdown","Verify Doctor's speciality drop down",""
"broken","Fri Sep 11 13:27:11 IST 2026","Fri Sep 11 13:28:55 IST 2026","104024","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","IDA4_2390_verifyHWCanAbleToSearchTheAppointmentsByPatientNameInUpcomingAppointments","Verify the HW can able to search the appointments by patient name",""
"broken","Fri Sep 11 11:57:04 IST 2026","Fri Sep 11 11:57:04 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","beforeMethod","beforeMethod",""
"passed","Thu Sep 10 15:23:40 IST 2026","Thu Sep 10 15:23:49 IST 2026","8443","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2575_verifyTwoOfSixQuestionNormalPaleOption","Verify when user clicks Normal/Pale option in 2 of 6",""
"broken","Thu Sep 10 17:28:40 IST 2026","Thu Sep 10 17:29:08 IST 2026","27519","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2579_verifyClickingOnPhotoInTwoOfSix","Verify clicking photo in 1 of 6",""
